airport_id,iata_code,icao_code,city,country,latitude,longitude,elevation_ft,timezone_offset_hours,climate_region
AP-0001,QGF,ZZPW,North Bridge,NORLANDIA,-6.309649330271654,94.63117332518686,660.2560918360763,10.0,TEMPERATE
AP-0002,QFP,ZZFH,Montcross,NORLANDIA,-31.23941607843753,-105.10782762093899,1106.4115275648517,-5.0,CONTINENTAL
AP-0003,QJR,ZZZR,West Bridge,NORLANDIA,-16.25688253934475,-162.13164259436712,1182.6521664952188,8.0,TROPICAL
AP-0004,QRX,ZZRX,Steaddale,CENTRALIA,53.6174380010486,-115.01451077601541,1347.8405114531838,8.0,TROPICAL
AP-0005,QAO,ZZUS,Port Dale,NORLANDIA,-59.80855782305696,106.49304815343055,1641.1119016452112,-4.0,CONTINENTAL
AP-0006,QQC,ZZFK,Port Worth,CENTRALIA,1.560794304196591,117.17206523866253,12.767397697731099,-2.0,DESERT
AP-0007,QIV,ZZCC,East Stead,NORLANDIA,-13.54778637957557,-147.2653572350714,178.26825099405255,-6.0,DESERT
AP-0008,QTB,ZZBF,Saint Wick,AUSTRALTERRA,14.778206749670943,-1.1523700542942947,412.0544789606231,7.0,DESERT
AP-0009,QLO,ZZOH,Fort Bridge,AUSTRALTERRA,57.73611860613258,109.896508501607,510.7181045202807,11.0,TROPICAL
AP-0010,QAM,ZZND,Bridgestead,AUSTRALTERRA,-29.312214385792018,50.271996467387,734.2192222224868,0.0,TROPICAL
AP-0011,QOR,ZZYG,Wickstead,CENTRALIA,63.08391107514197,125.49738275552988,918.4665183414681,-10.0,TROPICAL
AP-0012,QTR,ZZTD,New Dale,SYNTHONIA,-4.313042888032541,-40.222123651871044,453.16326116571736,-9.0,DESERT
AP-0013,QSJ,ZZPU,Lake Cross,AUSTRALTERRA,-5.273000881512758,-10.184974549561076,821.6353789420355,-10.0,TEMPERATE
AP-0014,QQZ,ZZDC,Brookmont,AUSTRALTERRA,-2.225190750846089,106.64249856572889,587.3925749484516,5.0,TEMPERATE
AP-0015,QHE,ZZSU,East Dale,AUSTRALTERRA,-49.991809539383794,-86.38161050738394,597.1224499197932,-2.0,TEMPERATE
