failure_id,aircraft_id,engine_id,fault_code_id,flight_segment_id,detected_ts,severity,cycles_since_new_at_failure,rul_days_actual,resolved
FA-00000001,AC-00001,,FC-00025,,2025-10-10T02:04:11,MINOR,1335,0.0,True
FA-00000002,AC-00001,,FC-00013,,2025-12-14T23:03:30,MINOR,1385,0.0,True
FA-00000003,AC-00001,,FC-00017,,2024-08-23T06:30:21,MAJOR,703,0.0,True
FA-00000004,AC-00001,,FC-00020,,2025-02-06T09:14:23,MAJOR,782,0.0,True
FA-00000005,AC-00001,,FC-00020,,2025-06-23T07:38:06,MAJOR,22,0.0,True
FA-00000006,AC-00001,,FC-00011,,2024-06-28T09:03:28,MINOR,275,0.0,True
FA-00000007,AC-00002,EN-000004,FC-00039,,2021-02-18T15:31:11,MAJOR,1196,0.0,True
FA-00000008,AC-00002,EN-000003,FC-00037,,2008-12-26T23:08:42,MINOR,21760,0.0,True
FA-00000009,AC-00002,EN-000003,FC-00041,,2020-08-27T12:58:33,CRITICAL,7256,0.0,True
FA-00000010,AC-00002,EN-000004,FC-00043,,2020-06-19T02:17:29,CRITICAL,40516,0.0,True
FA-00000011,AC-00002,EN-000004,FC-00027,,2010-04-02T23:01:54,MAJOR,6328,0.0,True
FA-00000012,AC-00002,EN-000004,FC-00027,,2010-01-14T02:25:48,MAJOR,11264,0.0,True
FA-00000013,AC-00002,EN-000003,FC-00037,,2011-05-22T15:54:32,MINOR,48282,0.0,True
FA-00000014,AC-00002,EN-000004,FC-00029,,2025-04-23T06:45:49,MINOR,7761,0.0,True
FA-00000015,AC-00002,EN-000003,FC-00049,,2015-12-14T03:22:34,MINOR,11625,0.0,True
FA-00000016,AC-00002,EN-000004,FC-00036,,2012-03-19T16:13:50,MINOR,2912,0.0,True
FA-00000017,AC-00002,EN-000004,FC-00040,,2005-01-08T21:07:26,MAJOR,38885,0.0,True
FA-00000018,AC-00002,EN-000003,FC-00039,,2014-12-07T19:38:53,MAJOR,49387,0.0,True
FA-00000019,AC-00002,EN-000004,FC-00038,,2018-01-22T04:54:27,CRITICAL,8899,0.0,True
FA-00000020,AC-00002,EN-000003,FC-00037,,2006-02-24T10:33:02,MINOR,20166,0.0,True
FA-00000021,AC-00002,EN-000003,FC-00037,,2016-11-26T18:21:29,MINOR,12,0.0,True
FA-00000022,AC-00002,EN-000004,FC-00048,,2024-06-26T04:51:11,CRITICAL,13966,0.0,True
FA-00000023,AC-00002,EN-000003,FC-00027,,2017-12-20T03:37:38,MAJOR,1911,0.0,True
FA-00000024,AC-00002,EN-000003,FC-00047,,2008-05-30T15:54:28,MINOR,43972,0.0,True
FA-00000025,AC-00002,EN-000003,FC-00026,,2011-06-21T15:06:33,CRITICAL,26393,0.0,True
FA-00000026,AC-00002,EN-000004,FC-00040,,2012-12-01T03:27:40,MAJOR,35765,0.0,True
