flight_id,flight_number,airline_id,origin_airport_id,destination_airport_id,schedule_effective_from,schedule_effective_to
FL-000001,SYD101,AL-004,AP-0003,AP-0007,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000002,SYB101,AL-002,AP-0012,AP-0006,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000003,SYB102,AL-002,AP-0014,AP-0009,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000004,SYC101,AL-003,AP-0005,AP-0002,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000005,SYD102,AL-004,AP-0010,AP-0008,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000006,SYC102,AL-003,AP-0015,AP-0009,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000007,SYA101,AL-001,AP-0013,AP-0001,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000008,SYB103,AL-002,AP-0011,AP-0014,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000009,SYA102,AL-001,AP-0007,AP-0014,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000010,SYA103,AL-001,AP-0007,AP-0009,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000011,SYC103,AL-003,AP-0013,AP-0001,2026-07-23T15:27:59,2026-07-24T15:27:59
FL-000012,SYC104,AL-003,AP-0012,AP-0003,2026-07-23T15:27:59,2026-07-24T15:27:59
