inventory_id,part_id,airport_id,work_order_id,supplier_id,transaction_type,quantity,transaction_ts,quantity_on_hand_after,unit_cost_usd
IV-000000001,PT-000151,AP-0013,,SU-004,RECEIPT,39,2025-09-04T03:20:12,39,45.11
IV-000000002,PT-000151,AP-0013,WO-000000002,,ISSUE,3,2025-10-11T09:50:07,36,45.11
IV-000000003,PT-000151,AP-0013,,SU-003,RECEIPT,22,2025-10-18T11:29:50,58,45.11
IV-000000004,PT-000155,AP-0013,,SU-003,RECEIPT,54,2025-09-16T00:45:03,54,26.98
IV-000000005,PT-000155,AP-0013,WO-000000003,,ISSUE,2,2025-10-11T09:40:35,52,26.98
IV-000000006,PT-000088,AP-0005,,SU-004,RECEIPT,51,2025-11-28T22:21:58,51,13940.49
IV-000000007,PT-000088,AP-0005,WO-000000004,,ISSUE,3,2025-12-15T00:54:51,48,13940.49
IV-000000008,PT-000088,AP-0005,,SU-004,RECEIPT,35,2025-12-22T23:31:58,83,13940.49
IV-000000009,PT-000086,AP-0004,,SU-002,RECEIPT,39,2024-06-26T06:51:42,39,17.29
IV-000000010,PT-000086,AP-0004,WO-000000005,,ISSUE,1,2024-08-23T10:41:22,38,17.29
IV-000000011,PT-000086,AP-0004,,SU-001,RECEIPT,7,2024-09-01T16:54:21,45,17.29
IV-000000012,PT-000017,AP-0011,,SU-001,RECEIPT,20,2024-05-21T22:32:38,20,1498.3
IV-000000013,PT-000017,AP-0011,WO-000000008,,ISSUE,1,2024-06-28T12:55:20,19,1498.3
IV-000000014,PT-000017,AP-0011,,,ADJUSTMENT,2,2024-06-28T13:55:20,21,1498.3
IV-000000015,PT-000017,AP-0011,,SU-002,RECEIPT,31,2024-07-01T12:19:09,52,1498.3
IV-000000016,PT-000032,AP-0011,,SU-001,RECEIPT,20,2008-11-02T22:08:20,20,14.9
IV-000000017,PT-000032,AP-0011,WO-000000011,,ISSUE,3,2008-12-27T02:57:20,17,14.9
IV-000000018,PT-000032,AP-0011,,SU-004,RECEIPT,32,2009-01-01T21:17:35,49,14.9
IV-000000019,PT-000125,AP-0004,,SU-003,RECEIPT,59,2020-04-22T04:27:35,59,16.83
IV-000000020,PT-000125,AP-0004,WO-000000013,,ISSUE,1,2020-06-19T03:10:56,58,16.83
IV-000000021,PT-000125,AP-0004,,SU-003,RECEIPT,30,2020-06-20T22:50:29,88,16.83
IV-000000022,PT-000059,AP-0014,,SU-004,RECEIPT,6,2010-02-27T17:16:02,6,2804.02
IV-000000023,PT-000059,AP-0014,WO-000000014,,ISSUE,3,2010-04-03T03:24:16,3,2804.02
IV-000000024,PT-000106,AP-0002,,SU-002,RECEIPT,51,2009-11-28T12:02:26,51,11.87
IV-000000025,PT-000106,AP-0002,WO-000000015,,ISSUE,3,2010-01-14T02:59:41,48,11.87
IV-000000026,PT-000106,AP-0002,,SU-004,RECEIPT,26,2010-01-19T20:18:28,74,11.87
IV-000000027,PT-000095,AP-0015,,SU-003,RECEIPT,5,2011-04-25T13:25:35,5,5149.21
IV-000000028,PT-000095,AP-0015,WO-000000017,,ISSUE,2,2011-05-31T17:00:59,3,5149.21
IV-000000029,PT-000095,AP-0015,,SU-001,RECEIPT,36,2011-06-12T15:37:35,39,5149.21
IV-000000030,PT-000108,AP-0015,,SU-003,RECEIPT,39,2011-05-02T17:09:18,39,41.51
IV-000000031,PT-000108,AP-0015,WO-000000018,,ISSUE,1,2011-05-31T17:15:21,38,41.51
IV-000000032,PT-000108,AP-0015,,SU-001,RECEIPT,9,2011-06-09T21:03:24,47,41.51
IV-000000033,PT-000002,AP-0015,,SU-002,RECEIPT,27,2011-04-29T19:55:48,27,1682.78
IV-000000034,PT-000002,AP-0015,WO-000000020,,ISSUE,1,2011-05-31T17:02:50,26,1682.78
IV-000000035,PT-000002,AP-0015,,SU-001,RECEIPT,32,2011-06-01T05:02:50,58,1682.78
IV-000000036,PT-000043,AP-0015,,SU-001,RECEIPT,8,2011-04-26T00:36:26,8,13.18
IV-000000037,PT-000043,AP-0015,WO-000000021,,ISSUE,3,2011-05-31T16:52:47,5,13.18
IV-000000038,PT-000043,AP-0014,,SU-001,RECEIPT,43,2015-11-13T20:39:05,43,13.18
IV-000000039,PT-000043,AP-0014,WO-000000024,,ISSUE,1,2015-12-14T09:26:31,42,13.18
IV-000000040,PT-000043,AP-0014,,SU-002,RECEIPT,29,2015-12-23T12:55:44,71,13.18
IV-000000041,PT-000116,AP-0012,,SU-003,RECEIPT,34,2014-12-02T05:06:56,34,18891.67
IV-000000042,PT-000116,AP-0012,WO-000000027,,ISSUE,3,2014-12-07T20:51:50,31,18891.67
IV-000000043,PT-000029,AP-0013,,SU-004,RECEIPT,9,2008-04-12T16:07:05,9,47410.14
IV-000000044,PT-000029,AP-0013,WO-000000035,,ISSUE,3,2008-05-31T09:29:47,6,47410.14
IV-000000045,PT-000029,AP-0013,,SU-001,RECEIPT,30,2008-06-06T07:11:11,36,47410.14
IV-000000046,PT-000093,AP-0004,,SU-001,RECEIPT,52,2012-10-09T16:42:51,52,36.12
IV-000000047,PT-000093,AP-0004,WO-000000038,,ISSUE,2,2012-12-02T04:02:34,50,36.12
IV-000000048,PT-000003,AP-0004,,SU-002,RECEIPT,26,2012-10-18T17:04:31,26,10.48
IV-000000049,PT-000003,AP-0004,WO-000000039,,ISSUE,1,2012-12-02T04:04:37,25,10.48
IV-000000050,PT-000110,AP-0004,,SU-003,RECEIPT,58,2012-10-27T17:20:50,58,12248.13
IV-000000051,PT-000110,AP-0004,WO-000000040,,ISSUE,1,2012-12-02T04:43:42,57,12248.13
IV-000000052,PT-000027,AP-0006,,SU-001,RECEIPT,8,2004-08-04T02:48:03,8,38.23
IV-000000053,PT-000027,AP-0006,WO-000000041,,ISSUE,3,2004-08-21T11:59:11,5,38.23
IV-000000054,PT-000027,AP-0006,,SU-003,RECEIPT,34,2004-08-28T13:47:11,39,38.23
IV-000000055,PT-000100,AP-0010,,SU-003,RECEIPT,12,2002-08-28T01:48:05,12,34.39
IV-000000056,PT-000100,AP-0010,WO-000000043,,ISSUE,3,2002-09-02T18:12:17,9,34.39
IV-000000057,PT-000149,AP-0010,,SU-004,RECEIPT,34,2002-08-26T16:35:57,34,15.1
IV-000000058,PT-000149,AP-0010,WO-000000045,,ISSUE,1,2002-09-02T19:08:29,33,15.1
IV-000000059,PT-000152,AP-0005,,SU-004,RECEIPT,52,2002-03-15T07:36:39,52,17.72
IV-000000060,PT-000152,AP-0005,WO-000000046,,ISSUE,2,2002-04-05T01:30:22,50,17.72
IV-000000061,PT-000154,AP-0004,,SU-003,RECEIPT,35,2013-11-20T12:28:23,35,6011.07
IV-000000062,PT-000154,AP-0004,WO-000000048,,ISSUE,2,2014-01-19T02:11:46,33,6011.07
IV-000000063,PT-000154,AP-0004,,SU-003,RECEIPT,5,2014-01-19T15:52:10,38,6011.07
IV-000000064,PT-000114,AP-0003,,SU-004,RECEIPT,29,2020-08-25T09:51:49,29,872.97
IV-000000065,PT-000114,AP-0003,WO-000000049,,ISSUE,1,2020-08-30T14:16:27,28,872.97
IV-000000066,PT-000089,AP-0008,,SU-002,RECEIPT,52,2025-03-15T12:57:05,52,20.47
IV-000000067,PT-000089,AP-0008,WO-000000050,,ISSUE,2,2024-04-29T03:26:50,50,20.47
IV-000000068,PT-000004,AP-0002,,SU-004,RECEIPT,42,2016-11-17T23:58:32,42,6.28
IV-000000069,PT-000004,AP-0002,WO-000000051,,ISSUE,3,2016-12-15T22:27:39,39,6.28
IV-000000070,PT-000108,AP-0008,,SU-002,RECEIPT,43,2009-08-16T01:32:01,43,41.51
IV-000000071,PT-000108,AP-0008,WO-000000052,,ISSUE,2,2009-09-27T12:17:19,41,41.51
IV-000000072,PT-000014,AP-0009,,SU-003,RECEIPT,14,2009-05-19T20:07:08,14,14675.78
IV-000000073,PT-000014,AP-0009,WO-000000053,,ISSUE,3,2009-06-06T06:49:46,11,14675.78
IV-000000074,PT-000148,AP-0001,,SU-004,RECEIPT,47,2007-01-14T02:39:14,47,2837.37
IV-000000075,PT-000148,AP-0001,WO-000000055,,ISSUE,2,2007-02-03T06:32:18,45,2837.37
IV-000000076,PT-000148,AP-0001,,SU-002,RECEIPT,7,2007-02-04T06:35:37,52,2837.37
IV-000000077,PT-000080,AP-0006,,SU-004,RECEIPT,27,2009-04-22T13:07:50,27,32.02
IV-000000078,PT-000080,AP-0006,WO-000000058,,ISSUE,1,2009-06-17T15:43:18,26,32.02
IV-000000079,PT-000104,AP-0006,,SU-004,RECEIPT,37,2009-04-29T02:14:18,37,53.89
IV-000000080,PT-000104,AP-0006,WO-000000059,,ISSUE,3,2009-06-17T16:06:39,34,53.89
IV-000000081,PT-000057,AP-0003,,SU-004,RECEIPT,5,2012-10-04T07:06:19,5,8.45
IV-000000082,PT-000057,AP-0003,WO-000000063,,ISSUE,1,2012-11-08T06:26:24,4,8.45
