maintenance_event_id,aircraft_id,airport_id,triggering_failure_id,event_type,check_type,start_ts,end_ts,status
ME-00000001,AC-00001,AP-0013,FA-00000001,BASE,A_CHECK,2025-10-11T09:22:53,2025-10-13T21:44:12,CLOSED
ME-00000002,AC-00001,AP-0005,FA-00000002,LINE,TRANSIT_CHECK,2025-12-14T23:58:08,2025-12-15T02:26:15,CLOSED
ME-00000003,AC-00001,AP-0004,FA-00000003,LINE,TRANSIT_CHECK,2024-08-23T09:49:17,2024-08-23T12:00:02,CLOSED
ME-00000004,AC-00001,AP-0003,FA-00000004,LINE,TRANSIT_CHECK,2025-02-06T10:06:55,2025-02-06T14:21:37,CLOSED
ME-00000005,AC-00001,AP-0003,FA-00000005,LINE,TRANSIT_CHECK,2025-06-23T10:08:24,2025-06-23T15:37:28,CLOSED
ME-00000006,AC-00001,AP-0011,FA-00000006,LINE,TRANSIT_CHECK,2024-06-28T11:44:17,2024-06-28T15:54:13,CLOSED
ME-00000007,AC-00002,AP-0005,FA-00000007,BASE,B_CHECK,2021-02-20T09:49:59,2021-02-23T05:41:06,CLOSED
ME-00000008,AC-00002,AP-0011,FA-00000008,BASE,B_CHECK,2008-12-27T01:42:23,2008-12-29T14:24:41,CLOSED
ME-00000009,AC-00002,AP-0004,FA-00000009,LINE,LINE_INSPECTION,2020-08-27T16:34:15,2020-08-27T19:45:14,CLOSED
ME-00000010,AC-00002,AP-0004,FA-00000010,LINE,LINE_INSPECTION,2020-06-19T02:48:16,2020-06-19T07:03:18,CLOSED
ME-00000011,AC-00002,AP-0014,FA-00000011,LINE,TRANSIT_CHECK,2010-04-03T02:54:37,2010-04-03T03:57:39,CLOSED
ME-00000012,AC-00002,AP-0002,FA-00000012,LINE,TRANSIT_CHECK,2010-01-14T02:40:52,2010-01-14T04:25:43,CLOSED
ME-00000013,AC-00002,AP-0015,FA-00000013,HEAVY,D_CHECK,2011-05-31T16:49:05,2011-06-28T08:30:44,CLOSED
ME-00000014,AC-00002,AP-0005,FA-00000014,LINE,DAILY_CHECK,2025-04-23T07:41:31,2025-04-23T11:22:45,CLOSED
ME-00000015,AC-00002,AP-0014,FA-00000015,LINE,DAILY_CHECK,2015-12-14T09:10:33,2015-12-14T14:07:00,CLOSED
ME-00000016,AC-00002,AP-0011,FA-00000016,LINE,LINE_INSPECTION,2012-03-19T18:44:51,2012-03-19T22:15:21,CLOSED
ME-00000017,AC-00002,AP-0007,FA-00000017,LINE,TRANSIT_CHECK,2005-01-08T23:58:47,2005-01-09T05:56:07,CLOSED
ME-00000018,AC-00002,AP-0012,FA-00000018,LINE,TRANSIT_CHECK,2014-12-07T20:49:50,2014-12-07T22:37:57,CLOSED
ME-00000019,AC-00002,AP-0015,FA-00000019,LINE,TRANSIT_CHECK,2018-01-22T05:56:50,2018-01-22T10:54:13,CLOSED
ME-00000020,AC-00002,AP-0001,FA-00000020,LINE,DAILY_CHECK,2006-02-24T11:53:21,2006-02-24T14:57:16,CLOSED
ME-00000021,AC-00002,AP-0015,FA-00000021,LINE,TRANSIT_CHECK,2016-11-26T22:10:16,2016-11-27T01:22:02,CLOSED
ME-00000022,AC-00002,AP-0002,FA-00000022,LINE,DAILY_CHECK,2024-06-26T09:20:48,2024-06-26T13:29:22,CLOSED
ME-00000023,AC-00002,AP-0015,FA-00000023,BASE,B_CHECK,2017-12-20T06:57:50,2017-12-24T00:29:35,CLOSED
ME-00000024,AC-00002,AP-0013,FA-00000024,BASE,B_CHECK,2008-05-31T08:39:48,2008-06-01T09:28:57,CLOSED
ME-00000025,AC-00002,AP-0005,FA-00000025,BASE,B_CHECK,2011-06-23T06:50:04,2011-06-25T23:13:53,CLOSED
ME-00000026,AC-00002,AP-0004,FA-00000026,BASE,B_CHECK,2012-12-02T03:35:53,2012-12-04T02:59:59,CLOSED
ME-00000027,AC-00002,AP-0006,FA-00000027,LINE,LINE_INSPECTION,2004-08-21T11:21:03,2004-08-21T14:18:46,CLOSED
ME-00000028,AC-00002,AP-0008,FA-00000028,LINE,TRANSIT_CHECK,2013-10-15T00:53:14,2013-10-15T03:28:52,CLOSED
ME-00000029,AC-00002,AP-0010,FA-00000029,BASE,A_CHECK,2002-09-02T17:57:42,2002-09-06T08:12:38,CLOSED
ME-00000030,AC-00002,AP-0005,FA-00000030,BASE,B_CHECK,2002-04-05T01:01:26,2002-04-07T12:57:17,CLOSED
ME-00000031,AC-00002,AP-0014,FA-00000031,LINE,LINE_INSPECTION,2008-03-21T22:49:05,2008-03-22T02:54:49,CLOSED
ME-00000032,AC-00002,AP-0004,FA-00000032,LINE,DAILY_CHECK,2014-01-19T02:01:44,2014-01-19T04:41:51,CLOSED
ME-00000033,AC-00002,AP-0003,FA-00000033,LINE,LINE_INSPECTION,2020-08-30T13:23:13,2020-08-30T15:15:00,CLOSED
ME-00000034,AC-00002,AP-0008,FA-00000034,LINE,TRANSIT_CHECK,2024-04-29T03:23:48,2024-04-29T06:08:57,CLOSED
ME-00000035,AC-00002,AP-0002,FA-00000035,AOG,AOG_RECOVERY,2016-12-15T21:39:22,2016-12-16T21:37:13,CLOSED
ME-00000036,AC-00002,AP-0008,FA-00000036,LINE,DAILY_CHECK,2009-09-27T11:40:52,2009-09-27T15:36:10,CLOSED
ME-00000037,AC-00002,AP-0009,FA-00000037,AOG,AOG_RECOVERY,2009-06-06T06:47:19,2009-06-07T00:37:23,CLOSED
ME-00000038,AC-00002,AP-0001,FA-00000038,LINE,TRANSIT_CHECK,2007-02-03T06:05:54,2007-02-03T10:22:51,CLOSED
ME-00000039,AC-00002,AP-0012,FA-00000039,LINE,DAILY_CHECK,2006-03-19T23:09:38,2006-03-20T00:23:53,CLOSED
ME-00000040,AC-00002,AP-0009,FA-00000040,BASE,B_CHECK,2003-10-19T20:29:54,2003-10-22T18:41:03,CLOSED
