part_id,part_number,description,category,unit_cost_usd,manufacturer
PT-000001,PN-CON-000001,Composant synthétique consumable #1,CONSUMABLE,53.33,SynAero Industries
PT-000002,PN-REP-000002,Composant synthétique repairable #2,REPAIRABLE,1682.78,SynPower Turbines
PT-000003,PN-CON-000003,Composant synthétique consumable #3,CONSUMABLE,10.48,SynAero Industries
PT-000004,PN-CON-000004,Composant synthétique consumable #4,CONSUMABLE,6.28,SynPower Turbines
PT-000005,PN-REP-000005,Composant synthétique repairable #5,REPAIRABLE,630.13,MeridianDrive Propulsion
PT-000006,PN-REP-000006,Composant synthétique repairable #6,REPAIRABLE,2680.94,SynAero Industries
PT-000007,PN-CON-000007,Composant synthétique consumable #7,CONSUMABLE,10.24,SynAero Industries
PT-000008,PN-ROT-000008,Composant synthétique rotable #8,ROTABLE,14923.36,SynAero Industries
PT-000009,PN-CON-000009,Composant synthétique consumable #9,CONSUMABLE,29.78,SynPower Turbines
PT-000010,PN-CON-000010,Composant synthétique consumable #10,CONSUMABLE,21.72,MeridianJet Corp
PT-000011,PN-ROT-000011,Composant synthétique rotable #11,ROTABLE,14277.04,SynPower Turbines
PT-000012,PN-REP-000012,Composant synthétique repairable #12,REPAIRABLE,3446.41,SynAero Industries
PT-000013,PN-REP-000013,Composant synthétique repairable #13,REPAIRABLE,3457.77,SynPower Turbines
PT-000014,PN-ROT-000014,Composant synthétique rotable #14,ROTABLE,14675.78,SynAero Industries
PT-000015,PN-CON-000015,Composant synthétique consumable #15,CONSUMABLE,26.56,SynAero Industries
PT-000016,PN-CON-000016,Composant synthétique consumable #16,CONSUMABLE,22.1,SynAero Industries
PT-000017,PN-REP-000017,Composant synthétique repairable #17,REPAIRABLE,1498.3,MeridianDrive Propulsion
PT-000018,PN-REP-000018,Composant synthétique repairable #18,REPAIRABLE,919.59,SynPower Turbines
PT-000019,PN-REP-000019,Composant synthétique repairable #19,REPAIRABLE,1729.42,SynAero Industries
PT-000020,PN-CON-000020,Composant synthétique consumable #20,CONSUMABLE,96.8,SynPower Turbines
PT-000021,PN-REP-000021,Composant synthétique repairable #21,REPAIRABLE,3568.6,SynAero Industries
PT-000022,PN-REP-000022,Composant synthétique repairable #22,REPAIRABLE,669.25,MeridianDrive Propulsion
PT-000023,PN-CON-000023,Composant synthétique consumable #23,CONSUMABLE,11.21,SynPower Turbines
PT-000024,PN-REP-000024,Composant synthétique repairable #24,REPAIRABLE,3847.74,MeridianJet Corp
PT-000025,PN-ROT-000025,Composant synthétique rotable #25,ROTABLE,9641.24,SynAero Industries
PT-000026,PN-CON-000026,Composant synthétique consumable #26,CONSUMABLE,16.31,SynAero Industries
PT-000027,PN-CON-000027,Composant synthétique consumable #27,CONSUMABLE,38.23,SynPower Turbines
PT-000028,PN-CON-000028,Composant synthétique consumable #28,CONSUMABLE,42.95,SynAero Industries
PT-000029,PN-ROT-000029,Composant synthétique rotable #29,ROTABLE,47410.14,MeridianJet Corp
PT-000030,PN-CON-000030,Composant synthétique consumable #30,CONSUMABLE,13.72,SynPower Turbines
PT-000031,PN-REP-000031,Composant synthétique repairable #31,REPAIRABLE,2267.78,SynAero Industries
PT-000032,PN-CON-000032,Composant synthétique consumable #32,CONSUMABLE,14.9,SynAero Industries
PT-000033,PN-CON-000033,Composant synthétique consumable #33,CONSUMABLE,28.36,SynAero Industries
PT-000034,PN-CON-000034,Composant synthétique consumable #34,CONSUMABLE,21.52,MeridianJet Corp
PT-000035,PN-ROT-000035,Composant synthétique rotable #35,ROTABLE,20453.55,SynPower Turbines
PT-000036,PN-ROT-000036,Composant synthétique rotable #36,ROTABLE,9810.4,MeridianJet Corp
PT-000037,PN-REP-000037,Composant synthétique repairable #37,REPAIRABLE,2047.48,SynAero Industries
PT-000038,PN-CON-000038,Composant synthétique consumable #38,CONSUMABLE,45.96,MeridianDrive Propulsion
PT-000039,PN-CON-000039,Composant synthétique consumable #39,CONSUMABLE,32.98,SynPower Turbines
PT-000040,PN-CON-000040,Composant synthétique consumable #40,CONSUMABLE,39.83,SynAero Industries
PT-000041,PN-CON-000041,Composant synthétique consumable #41,CONSUMABLE,9.97,SynAero Industries
PT-000042,PN-CON-000042,Composant synthétique consumable #42,CONSUMABLE,33.5,SynPower Turbines
PT-000043,PN-CON-000043,Composant synthétique consumable #43,CONSUMABLE,13.18,SynPower Turbines
PT-000044,PN-CON-000044,Composant synthétique consumable #44,CONSUMABLE,17.26,MeridianJet Corp
PT-000045,PN-CON-000045,Composant synthétique consumable #45,CONSUMABLE,8.25,SynPower Turbines
PT-000046,PN-CON-000046,Composant synthétique consumable #46,CONSUMABLE,33.81,MeridianJet Corp
PT-000047,PN-REP-000047,Composant synthétique repairable #47,REPAIRABLE,1326.1,MeridianJet Corp
PT-000048,PN-CON-000048,Composant synthétique consumable #48,CONSUMABLE,33.81,SynAero Industries
PT-000049,PN-CON-000049,Composant synthétique consumable #49,CONSUMABLE,40.4,SynAero Industries
PT-000050,PN-CON-000050,Composant synthétique consumable #50,CONSUMABLE,20.22,SynAero Industries
PT-000051,PN-REP-000051,Composant synthétique repairable #51,REPAIRABLE,2607.39,MeridianDrive Propulsion
PT-000052,PN-CON-000052,Composant synthétique consumable #52,CONSUMABLE,12.03,SynAero Industries
PT-000053,PN-CON-000053,Composant synthétique consumable #53,CONSUMABLE,70.54,SynAero Industries
PT-000054,PN-CON-000054,Composant synthétique consumable #54,CONSUMABLE,34.01,SynAero Industries
PT-000055,PN-CON-000055,Composant synthétique consumable #55,CONSUMABLE,12.4,SynAero Industries
PT-000056,PN-CON-000056,Composant synthétique consumable #56,CONSUMABLE,46.89,SynAero Industries
PT-000057,PN-CON-000057,Composant synthétique consumable #57,CONSUMABLE,8.45,SynAero Industries
PT-000058,PN-CON-000058,Composant synthétique consumable #58,CONSUMABLE,52.0,SynPower Turbines
PT-000059,PN-REP-000059,Composant synthétique repairable #59,REPAIRABLE,2804.02,SynAero Industries
PT-000060,PN-CON-000060,Composant synthétique consumable #60,CONSUMABLE,27.61,SynAero Industries
PT-000061,PN-CON-000061,Composant synthétique consumable #61,CONSUMABLE,7.3,SynAero Industries
PT-000062,PN-CON-000062,Composant synthétique consumable #62,CONSUMABLE,57.82,SynPower Turbines
PT-000063,PN-ROT-000063,Composant synthétique rotable #63,ROTABLE,15733.69,SynAero Industries
PT-000064,PN-CON-000064,Composant synthétique consumable #64,CONSUMABLE,36.27,SynAero Industries
PT-000065,PN-CON-000065,Composant synthétique consumable #65,CONSUMABLE,27.16,MeridianJet Corp
PT-000066,PN-ROT-000066,Composant synthétique rotable #66,ROTABLE,45229.36,SynAero Industries
PT-000067,PN-CON-000067,Composant synthétique consumable #67,CONSUMABLE,13.84,SynPower Turbines
PT-000068,PN-REP-000068,Composant synthétique repairable #68,REPAIRABLE,1426.59,SynAero Industries
PT-000069,PN-CON-000069,Composant synthétique consumable #69,CONSUMABLE,24.09,SynAero Industries
PT-000070,PN-CON-000070,Composant synthétique consumable #70,CONSUMABLE,44.48,SynAero Industries
PT-000071,PN-CON-000071,Composant synthétique consumable #71,CONSUMABLE,44.04,MeridianJet Corp
PT-000072,PN-ROT-000072,Composant synthétique rotable #72,ROTABLE,9536.45,SynAero Industries
PT-000073,PN-ROT-000073,Composant synthétique rotable #73,ROTABLE,8135.72,MeridianJet Corp
PT-000074,PN-REP-000074,Composant synthétique repairable #74,REPAIRABLE,3089.95,SynAero Industries
PT-000075,PN-REP-000075,Composant synthétique repairable #75,REPAIRABLE,1851.45,SynPower Turbines
PT-000076,PN-REP-000076,Composant synthétique repairable #76,REPAIRABLE,1298.89,SynAero Industries
