sensor_reading_id,flight_segment_id,engine_id,aircraft_id,ts,flight_phase,parameter_code,value,unit
SR-000000000001,FS-000000001,EN-000001,AC-00001,2026-07-23T20:26:48,TAXI,EGT,330.97246068535566,C
SR-000000000002,FS-000000001,EN-000001,AC-00001,2026-07-23T20:26:48,TAXI,N1,21.03976137917851,pct
SR-000000000003,FS-000000001,EN-000001,AC-00001,2026-07-23T20:26:48,TAXI,N2,48.07342144607136,pct
SR-000000000004,FS-000000001,EN-000001,AC-00001,2026-07-23T20:26:48,TAXI,FUEL_FLOW,187.77276423056264,kg_h
SR-000000000005,FS-000000001,EN-000001,AC-00001,2026-07-23T20:26:48,TAXI,OIL_TEMP,54.318957477657044,C
SR-000000000006,FS-000000001,EN-000001,AC-00001,2026-07-23T20:26:48,TAXI,OIL_PRESSURE,16.8670621855079,psi
SR-000000000007,FS-000000001,EN-000001,AC-00001,2026-07-23T20:26:48,TAXI,VIBRATION,1.453428672919773,units_0_5
SR-000000000008,FS-000000001,EN-000002,AC-00001,2026-07-23T20:26:48,TAXI,EGT,331.9280308166569,C
SR-000000000009,FS-000000001,EN-000002,AC-00001,2026-07-23T20:26:48,TAXI,N1,30.39198118180098,pct
SR-000000000010,FS-000000001,EN-000002,AC-00001,2026-07-23T20:26:48,TAXI,N2,55.092739441055706,pct
SR-000000000011,FS-000000001,EN-000002,AC-00001,2026-07-23T20:26:48,TAXI,FUEL_FLOW,183.11725870852658,kg_h
SR-000000000012,FS-000000001,EN-000002,AC-00001,2026-07-23T20:26:48,TAXI,OIL_TEMP,56.441686093965814,C
SR-000000000013,FS-000000001,EN-000002,AC-00001,2026-07-23T20:26:48,TAXI,OIL_PRESSURE,17.9161908159225,psi
SR-000000000014,FS-000000001,EN-000002,AC-00001,2026-07-23T20:26:48,TAXI,VIBRATION,1.4291282819783142,units_0_5
SR-000000000015,FS-000000001,,AC-00001,2026-07-23T20:26:48,TAXI,APU_EGT,480.503447424956,C
SR-000000000016,FS-000000001,,AC-00001,2026-07-23T20:26:48,TAXI,CABIN_ALTITUDE,-60.71230704036809,ft
SR-000000000017,FS-000000001,EN-000001,AC-00001,2026-07-23T20:29:48,TAKEOFF,EGT,902.0514777424739,C
SR-000000000018,FS-000000001,EN-000001,AC-00001,2026-07-23T20:29:48,TAKEOFF,N1,107.76382408634922,pct
SR-000000000019,FS-000000001,EN-000001,AC-00001,2026-07-23T20:29:48,TAKEOFF,N2,96.4936454542365,pct
SR-000000000020,FS-000000001,EN-000001,AC-00001,2026-07-23T20:29:48,TAKEOFF,FUEL_FLOW,2839.04818391032,kg_h
SR-000000000021,FS-000000001,EN-000001,AC-00001,2026-07-23T20:29:48,TAKEOFF,OIL_TEMP,112.36652259563715,C
SR-000000000022,FS-000000001,EN-000001,AC-00001,2026-07-23T20:29:48,TAKEOFF,OIL_PRESSURE,52.793358529121164,psi
SR-000000000023,FS-000000001,EN-000001,AC-00001,2026-07-23T20:29:48,TAKEOFF,VIBRATION,1.524809254994812,units_0_5
SR-000000000024,FS-000000001,EN-000002,AC-00001,2026-07-23T20:29:48,TAKEOFF,EGT,917.9599148523388,C
SR-000000000025,FS-000000001,EN-000002,AC-00001,2026-07-23T20:29:48,TAKEOFF,N1,102.6034290766895,pct
SR-000000000026,FS-000000001,EN-000002,AC-00001,2026-07-23T20:29:48,TAKEOFF,N2,100.05864338374565,pct
SR-000000000027,FS-000000001,EN-000002,AC-00001,2026-07-23T20:29:48,TAKEOFF,FUEL_FLOW,3079.339214428301,kg_h
SR-000000000028,FS-000000001,EN-000002,AC-00001,2026-07-23T20:29:48,TAKEOFF,OIL_TEMP,115.94104100679711,C
SR-000000000029,FS-000000001,EN-000002,AC-00001,2026-07-23T20:29:48,TAKEOFF,OIL_PRESSURE,54.3436787876354,psi
SR-000000000030,FS-000000001,EN-000002,AC-00001,2026-07-23T20:29:48,TAKEOFF,VIBRATION,1.3522259642536407,units_0_5
SR-000000000031,FS-000000001,,AC-00001,2026-07-23T20:29:48,TAKEOFF,APU_EGT,51.73297328256227,C
SR-000000000032,FS-000000001,,AC-00001,2026-07-23T20:29:48,TAKEOFF,CABIN_ALTITUDE,-353.24725919533967,ft
SR-000000000033,FS-000000001,EN-000001,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,EGT,868.7755793635997,C
SR-000000000034,FS-000000001,EN-000001,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,N1,95.6636896796646,pct
SR-000000000035,FS-000000001,EN-000001,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,N2,92.00982146978237,pct
SR-000000000036,FS-000000001,EN-000001,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,FUEL_FLOW,2451.5586210682322,kg_h
SR-000000000037,FS-000000001,EN-000001,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,OIL_TEMP,109.03040733109543,C
SR-000000000038,FS-000000001,EN-000001,AC-00001,2026-07-23T20:31:48,INITIAL_CLIMB,OIL_PRESSURE,53.87780250813824,psi
