sensor_reading_id,quality_flag
SR-000000000001,NOISE_INJECTED
SR-000000000002,NOISE_INJECTED
SR-000000000003,NOISE_INJECTED
SR-000000000004,NOISE_INJECTED
SR-000000000005,NOISE_INJECTED
SR-000000000006,NOISE_INJECTED
SR-000000000007,NOISE_INJECTED
SR-000000000008,NOISE_INJECTED
SR-000000000009,NOISE_INJECTED
SR-000000000010,NOISE_INJECTED
SR-000000000011,NOISE_INJECTED
SR-000000000012,NOISE_INJECTED
SR-000000000013,NOISE_INJECTED
SR-000000000014,NOISE_INJECTED
SR-000000000015,NOISE_INJECTED
SR-000000000016,NOISE_INJECTED
SR-000000000017,NOISE_INJECTED
SR-000000000018,NOISE_INJECTED
SR-000000000019,NOISE_INJECTED
SR-000000000020,NOISE_INJECTED
SR-000000000021,NOISE_INJECTED
SR-000000000022,NOISE_INJECTED
SR-000000000023,NOISE_INJECTED
SR-000000000024,NOISE_INJECTED
SR-000000000025,NOISE_INJECTED
SR-000000000026,NOISE_INJECTED
SR-000000000027,NOISE_INJECTED
SR-000000000028,NOISE_INJECTED
SR-000000000029,NOISE_INJECTED
SR-000000000030,NOISE_INJECTED
SR-000000000031,NOISE_INJECTED
SR-000000000032,NOISE_INJECTED
SR-000000000033,NOISE_INJECTED
SR-000000000034,NOISE_INJECTED
SR-000000000035,NOISE_INJECTED
SR-000000000036,NOISE_INJECTED
SR-000000000037,NOISE_INJECTED
SR-000000000038,NOISE_INJECTED
SR-000000000039,NOISE_INJECTED
SR-000000000040,NOISE_INJECTED
SR-000000000041,NOISE_INJECTED
SR-000000000042,NOISE_INJECTED
SR-000000000043,NOISE_INJECTED
SR-000000000044,NOISE_INJECTED
SR-000000000045,MISSING
SR-000000000046,NOISE_INJECTED
SR-000000000047,NOISE_INJECTED
SR-000000000048,NOISE_INJECTED
SR-000000000049,NOISE_INJECTED
SR-000000000050,NOISE_INJECTED
SR-000000000051,NOISE_INJECTED
SR-000000000052,NOISE_INJECTED
SR-000000000053,NOISE_INJECTED
SR-000000000054,NOISE_INJECTED
SR-000000000055,NOISE_INJECTED
SR-000000000056,NOISE_INJECTED
SR-000000000057,NOISE_INJECTED
SR-000000000058,NOISE_INJECTED
SR-000000000059,NOISE_INJECTED
SR-000000000060,NOISE_INJECTED
SR-000000000061,NOISE_INJECTED
SR-000000000062,NOISE_INJECTED
SR-000000000063,NOISE_INJECTED
SR-000000000064,NOISE_INJECTED
SR-000000000065,NOISE_INJECTED
SR-000000000066,NOISE_INJECTED
SR-000000000067,NOISE_INJECTED
SR-000000000068,NOISE_INJECTED
SR-000000000069,NOISE_INJECTED
SR-000000000070,NOISE_INJECTED
SR-000000000071,NOISE_INJECTED
SR-000000000072,NOISE_INJECTED
SR-000000000073,NOISE_INJECTED
SR-000000000074,NOISE_INJECTED
SR-000000000075,NOISE_INJECTED
SR-000000000076,NOISE_INJECTED
SR-000000000077,NOISE_INJECTED
SR-000000000078,NOISE_INJECTED
SR-000000000079,NOISE_INJECTED
SR-000000000080,NOISE_INJECTED
SR-000000000081,NOISE_INJECTED
SR-000000000082,NOISE_INJECTED
SR-000000000083,NOISE_INJECTED
SR-000000000084,NOISE_INJECTED
SR-000000000085,NOISE_INJECTED
SR-000000000086,NOISE_INJECTED
SR-000000000087,NOISE_INJECTED
SR-000000000088,NOISE_INJECTED
SR-000000000089,NOISE_INJECTED
SR-000000000090,NOISE_INJECTED
SR-000000000091,NOISE_INJECTED
SR-000000000092,NOISE_INJECTED
SR-000000000093,NOISE_INJECTED
SR-000000000094,NOISE_INJECTED
SR-000000000095,NOISE_INJECTED
SR-000000000096,NOISE_INJECTED
SR-000000000097,NOISE_INJECTED
SR-000000000098,NOISE_INJECTED
SR-000000000099,NOISE_INJECTED
SR-000000000100,NOISE_INJECTED
SR-000000000101,NOISE_INJECTED
SR-000000000102,NOISE_INJECTED
SR-000000000103,NOISE_INJECTED
SR-000000000104,SUSTAINED_ANOMALY
SR-000000000105,NOISE_INJECTED
SR-000000000106,NOISE_INJECTED
SR-000000000107,NOISE_INJECTED
SR-000000000108,NOISE_INJECTED
SR-000000000109,NOISE_INJECTED
SR-000000000110,NOISE_INJECTED
SR-000000000111,NOISE_INJECTED
SR-000000000112,NOISE_INJECTED
SR-000000000113,NOISE_INJECTED
SR-000000000114,NOISE_INJECTED
SR-000000000115,NOISE_INJECTED
SR-000000000116,NOISE_INJECTED
SR-000000000117,NOISE_INJECTED
SR-000000000118,NOISE_INJECTED
SR-000000000119,NOISE_INJECTED
SR-000000000120,NOISE_INJECTED
SR-000000000121,NOISE_INJECTED
SR-000000000122,NOISE_INJECTED
SR-000000000123,NOISE_INJECTED
SR-000000000124,NOISE_INJECTED
SR-000000000125,NOISE_INJECTED
SR-000000000126,NOISE_INJECTED
SR-000000000127,NOISE_INJECTED
SR-000000000128,NOISE_INJECTED
SR-000000000129,NOISE_INJECTED
SR-000000000130,NOISE_INJECTED
SR-000000000131,NOISE_INJECTED
SR-000000000132,NOISE_INJECTED
SR-000000000133,NOISE_INJECTED
SR-000000000134,NOISE_INJECTED
SR-000000000135,NOISE_INJECTED
SR-000000000136,NOISE_INJECTED
SR-000000000137,MISSING
SR-000000000138,NOISE_INJECTED
SR-000000000139,NOISE_INJECTED
SR-000000000140,NOISE_INJECTED
SR-000000000141,NOISE_INJECTED
SR-000000000142,NOISE_INJECTED
SR-000000000143,NOISE_INJECTED
SR-000000000144,NOISE_INJECTED
SR-000000000145,NOISE_INJECTED
SR-000000000146,NOISE_INJECTED
SR-000000000147,NOISE_INJECTED
SR-000000000148,NOISE_INJECTED
SR-000000000149,NOISE_INJECTED
SR-000000000150,NOISE_INJECTED
SR-000000000151,NOISE_INJECTED
SR-000000000152,NOISE_INJECTED
SR-000000000153,NOISE_INJECTED
SR-000000000154,NOISE_INJECTED
SR-000000000155,NOISE_INJECTED
SR-000000000156,NOISE_INJECTED
SR-000000000157,NOISE_INJECTED
SR-000000000158,NOISE_INJECTED
SR-000000000159,NOISE_INJECTED
SR-000000000160,NOISE_INJECTED
SR-000000000161,SUSTAINED_ANOMALY
SR-000000000162,NOISE_INJECTED
SR-000000000163,NOISE_INJECTED
SR-000000000164,NOISE_INJECTED
SR-000000000165,NOISE_INJECTED
SR-000000000166,NOISE_INJECTED
SR-000000000167,NOISE_INJECTED
SR-000000000168,NOISE_INJECTED
SR-000000000169,NOISE_INJECTED
SR-000000000170,NOISE_INJECTED
SR-000000000171,NOISE_INJECTED
SR-000000000172,NOISE_INJECTED
SR-000000000173,NOISE_INJECTED
SR-000000000174,NOISE_INJECTED
SR-000000000175,NOISE_INJECTED
SR-000000000176,NOISE_INJECTED
SR-000000000177,NOISE_INJECTED
SR-000000000178,NOISE_INJECTED
SR-000000000179,NOISE_INJECTED
SR-000000000180,NOISE_INJECTED
SR-000000000181,NOISE_INJECTED
SR-000000000182,NOISE_INJECTED
SR-000000000183,NOISE_INJECTED
SR-000000000184,NOISE_INJECTED
SR-000000000185,NOISE_INJECTED
SR-000000000186,NOISE_INJECTED
SR-000000000187,NOISE_INJECTED
SR-000000000188,NOISE_INJECTED
SR-000000000189,NOISE_INJECTED
SR-000000000190,NOISE_INJECTED
SR-000000000191,MISSING
SR-000000000192,NOISE_INJECTED
SR-000000000193,NOISE_INJECTED
SR-000000000194,NOISE_INJECTED
SR-000000000195,NOISE_INJECTED
SR-000000000196,NOISE_INJECTED
SR-000000000197,NOISE_INJECTED
SR-000000000198,NOISE_INJECTED
SR-000000000199,NOISE_INJECTED
SR-000000000200,NOISE_INJECTED
SR-000000000201,NOISE_INJECTED
SR-000000000202,NOISE_INJECTED
SR-000000000203,NOISE_INJECTED
SR-000000000204,NOISE_INJECTED
SR-000000000205,NOISE_INJECTED
SR-000000000206,NOISE_INJECTED
SR-000000000207,NOISE_INJECTED
SR-000000000208,NOISE_INJECTED
SR-000000000209,NOISE_INJECTED
SR-000000000210,NOISE_INJECTED
SR-000000000211,NOISE_INJECTED
SR-000000000212,NOISE_INJECTED
SR-000000000213,NOISE_INJECTED
SR-000000000214,NOISE_INJECTED
SR-000000000215,NOISE_INJECTED
SR-000000000216,NOISE_INJECTED
SR-000000000217,NOISE_INJECTED
SR-000000000218,NOISE_INJECTED
SR-000000000219,NOISE_INJECTED
SR-000000000220,NOISE_INJECTED
SR-000000000221,NOISE_INJECTED
SR-000000000222,NOISE_INJECTED
SR-000000000223,NOISE_INJECTED
SR-000000000224,NOISE_INJECTED
SR-000000000225,NOISE_INJECTED
SR-000000000226,NOISE_INJECTED
SR-000000000227,NOISE_INJECTED
SR-000000000228,NOISE_INJECTED
SR-000000000229,NOISE_INJECTED
SR-000000000230,NOISE_INJECTED
SR-000000000231,NOISE_INJECTED
SR-000000000232,NOISE_INJECTED
SR-000000000233,NOISE_INJECTED
SR-000000000234,NOISE_INJECTED
SR-000000000235,NOISE_INJECTED
SR-000000000236,NOISE_INJECTED
SR-000000000237,NOISE_INJECTED
SR-000000000238,NOISE_INJECTED
SR-000000000239,NOISE_INJECTED
SR-000000000240,NOISE_INJECTED
SR-000000000241,NOISE_INJECTED
SR-000000000242,NOISE_INJECTED
SR-000000000243,NOISE_INJECTED
SR-000000000244,NOISE_INJECTED
SR-000000000245,NOISE_INJECTED
SR-000000000246,NOISE_INJECTED
SR-000000000247,NOISE_INJECTED
SR-000000000248,NOISE_INJECTED
SR-000000000249,NOISE_INJECTED
SR-000000000250,NOISE_INJECTED
SR-000000000251,NOISE_INJECTED
SR-000000000252,NOISE_INJECTED
SR-000000000253,NOISE_INJECTED
SR-000000000254,NOISE_INJECTED
SR-000000000255,NOISE_INJECTED
SR-000000000256,NOISE_INJECTED
SR-000000000257,MISSING
SR-000000000258,NOISE_INJECTED
SR-000000000259,NOISE_INJECTED
SR-000000000260,NOISE_INJECTED
SR-000000000261,NOISE_INJECTED
SR-000000000262,NOISE_INJECTED
SR-000000000263,NOISE_INJECTED
SR-000000000264,NOISE_INJECTED
SR-000000000265,NOISE_INJECTED
SR-000000000266,NOISE_INJECTED
SR-000000000267,NOISE_INJECTED
SR-000000000268,NOISE_INJECTED
SR-000000000269,NOISE_INJECTED
SR-000000000270,NOISE_INJECTED
SR-000000000271,NOISE_INJECTED
SR-000000000272,NOISE_INJECTED
SR-000000000273,NOISE_INJECTED
SR-000000000274,NOISE_INJECTED
SR-000000000275,NOISE_INJECTED
SR-000000000276,MISSING
SR-000000000277,NOISE_INJECTED
SR-000000000278,NOISE_INJECTED
SR-000000000279,NOISE_INJECTED
SR-000000000280,NOISE_INJECTED
SR-000000000281,NOISE_INJECTED
SR-000000000282,NOISE_INJECTED
SR-000000000283,NOISE_INJECTED
SR-000000000284,NOISE_INJECTED
SR-000000000285,NOISE_INJECTED
SR-000000000286,NOISE_INJECTED
SR-000000000287,NOISE_INJECTED
SR-000000000288,NOISE_INJECTED
SR-000000000289,NOISE_INJECTED
SR-000000000290,NOISE_INJECTED
SR-000000000291,NOISE_INJECTED
SR-000000000292,NOISE_INJECTED
SR-000000000293,NOISE_INJECTED
SR-000000000294,NOISE_INJECTED
SR-000000000295,NOISE_INJECTED
SR-000000000296,NOISE_INJECTED
SR-000000000297,NOISE_INJECTED
SR-000000000298,NOISE_INJECTED
SR-000000000299,NOISE_INJECTED
SR-000000000300,NOISE_INJECTED
SR-000000000301,NOISE_INJECTED
SR-000000000302,NOISE_INJECTED
SR-000000000303,NOISE_INJECTED
SR-000000000304,NOISE_INJECTED
SR-000000000305,NOISE_INJECTED
SR-000000000306,NOISE_INJECTED
SR-000000000307,NOISE_INJECTED
SR-000000000308,NOISE_INJECTED
SR-000000000309,NOISE_INJECTED
SR-000000000310,NOISE_INJECTED
SR-000000000311,NOISE_INJECTED
SR-000000000312,NOISE_INJECTED
SR-000000000313,NOISE_INJECTED
SR-000000000314,NOISE_INJECTED
SR-000000000315,NOISE_INJECTED
SR-000000000316,NOISE_INJECTED
SR-000000000317,MISSING
SR-000000000318,NOISE_INJECTED
SR-000000000319,NOISE_INJECTED
SR-000000000320,NOISE_INJECTED
SR-000000000321,NOISE_INJECTED
SR-000000000322,NOISE_INJECTED
SR-000000000323,MISSING
SR-000000000324,NOISE_INJECTED
SR-000000000325,NOISE_INJECTED
SR-000000000326,NOISE_INJECTED
SR-000000000327,NOISE_INJECTED
SR-000000000328,NOISE_INJECTED
SR-000000000329,NOISE_INJECTED
SR-000000000330,NOISE_INJECTED
SR-000000000331,NOISE_INJECTED
SR-000000000332,NOISE_INJECTED
SR-000000000333,NOISE_INJECTED
SR-000000000334,NOISE_INJECTED
SR-000000000335,NOISE_INJECTED
SR-000000000336,NOISE_INJECTED
SR-000000000337,NOISE_INJECTED
SR-000000000338,NOISE_INJECTED
SR-000000000339,NOISE_INJECTED
SR-000000000340,NOISE_INJECTED
SR-000000000341,NOISE_INJECTED
SR-000000000342,NOISE_INJECTED
SR-000000000343,NOISE_INJECTED
SR-000000000344,NOISE_INJECTED
SR-000000000345,NOISE_INJECTED
SR-000000000346,NOISE_INJECTED
SR-000000000347,NOISE_INJECTED
SR-000000000348,NOISE_INJECTED
SR-000000000349,NOISE_INJECTED
SR-000000000350,NOISE_INJECTED
SR-000000000351,NOISE_INJECTED
SR-000000000352,NOISE_INJECTED
SR-000000000353,NOISE_INJECTED
SR-000000000354,NOISE_INJECTED
SR-000000000355,NOISE_INJECTED
SR-000000000356,MISSING
SR-000000000357,NOISE_INJECTED
SR-000000000358,NOISE_INJECTED
SR-000000000359,NOISE_INJECTED
SR-000000000360,NOISE_INJECTED
SR-000000000361,NOISE_INJECTED
SR-000000000362,NOISE_INJECTED
SR-000000000363,NOISE_INJECTED
SR-000000000364,NOISE_INJECTED
SR-000000000365,NOISE_INJECTED
SR-000000000366,NOISE_INJECTED
SR-000000000367,NOISE_INJECTED
SR-000000000368,NOISE_INJECTED
SR-000000000369,NOISE_INJECTED
SR-000000000370,NOISE_INJECTED
SR-000000000371,NOISE_INJECTED
SR-000000000372,NOISE_INJECTED
SR-000000000373,NOISE_INJECTED
SR-000000000374,NOISE_INJECTED
SR-000000000375,MISSING
SR-000000000376,NOISE_INJECTED
SR-000000000377,NOISE_INJECTED
SR-000000000378,NOISE_INJECTED
SR-000000000379,NOISE_INJECTED
SR-000000000380,NOISE_INJECTED
SR-000000000381,NOISE_INJECTED
SR-000000000382,NOISE_INJECTED
SR-000000000383,NOISE_INJECTED
SR-000000000384,NOISE_INJECTED
SR-000000000385,NOISE_INJECTED
SR-000000000386,NOISE_INJECTED
SR-000000000387,NOISE_INJECTED
SR-000000000388,NOISE_INJECTED
SR-000000000389,NOISE_INJECTED
SR-000000000390,NOISE_INJECTED
SR-000000000391,NOISE_INJECTED
SR-000000000392,NOISE_INJECTED
SR-000000000393,NOISE_INJECTED
SR-000000000394,NOISE_INJECTED
SR-000000000395,NOISE_INJECTED
SR-000000000396,NOISE_INJECTED
SR-000000000397,NOISE_INJECTED
SR-000000000398,NOISE_INJECTED
SR-000000000399,NOISE_INJECTED
SR-000000000400,NOISE_INJECTED
SR-000000000401,NOISE_INJECTED
SR-000000000402,NOISE_INJECTED
SR-000000000403,NOISE_INJECTED
SR-000000000404,NOISE_INJECTED
SR-000000000405,NOISE_INJECTED
SR-000000000406,NOISE_INJECTED
SR-000000000407,NOISE_INJECTED
SR-000000000408,NOISE_INJECTED
SR-000000000409,NOISE_INJECTED
SR-000000000410,NOISE_INJECTED
SR-000000000411,NOISE_INJECTED
SR-000000000412,NOISE_INJECTED
SR-000000000413,NOISE_INJECTED
SR-000000000414,NOISE_INJECTED
SR-000000000415,NOISE_INJECTED
SR-000000000416,NOISE_INJECTED
SR-000000000417,NOISE_INJECTED
SR-000000000418,NOISE_INJECTED
SR-000000000419,NOISE_INJECTED
SR-000000000420,NOISE_INJECTED
SR-000000000421,NOISE_INJECTED
SR-000000000422,MISSING
SR-000000000423,NOISE_INJECTED
SR-000000000424,NOISE_INJECTED
SR-000000000425,NOISE_INJECTED
SR-000000000426,MISSING
SR-000000000427,NOISE_INJECTED
SR-000000000428,NOISE_INJECTED
SR-000000000429,NOISE_INJECTED
SR-000000000430,NOISE_INJECTED
SR-000000000431,NOISE_INJECTED
SR-000000000432,NOISE_INJECTED
SR-000000000433,NOISE_INJECTED
SR-000000000434,NOISE_INJECTED
SR-000000000435,NOISE_INJECTED
SR-000000000436,NOISE_INJECTED
SR-000000000437,NOISE_INJECTED
SR-000000000438,MISSING
SR-000000000439,NOISE_INJECTED
SR-000000000440,NOISE_INJECTED
SR-000000000441,NOISE_INJECTED
SR-000000000442,NOISE_INJECTED
SR-000000000443,NOISE_INJECTED
SR-000000000444,NOISE_INJECTED
SR-000000000445,NOISE_INJECTED
SR-000000000446,NOISE_INJECTED
SR-000000000447,MISSING
SR-000000000448,NOISE_INJECTED
SR-000000000449,NOISE_INJECTED
SR-000000000450,TRANSIENT_OUTLIER
SR-000000000451,NOISE_INJECTED
SR-000000000452,NOISE_INJECTED
SR-000000000453,NOISE_INJECTED
SR-000000000454,NOISE_INJECTED
SR-000000000455,MISSING
SR-000000000456,NOISE_INJECTED
SR-000000000457,MISSING
SR-000000000458,NOISE_INJECTED
SR-000000000459,NOISE_INJECTED
SR-000000000460,NOISE_INJECTED
SR-000000000461,NOISE_INJECTED
SR-000000000462,NOISE_INJECTED
SR-000000000463,NOISE_INJECTED
SR-000000000464,NOISE_INJECTED
SR-000000000465,NOISE_INJECTED
SR-000000000466,NOISE_INJECTED
SR-000000000467,NOISE_INJECTED
SR-000000000468,NOISE_INJECTED
SR-000000000469,NOISE_INJECTED
SR-000000000470,NOISE_INJECTED
SR-000000000471,NOISE_INJECTED
SR-000000000472,NOISE_INJECTED
SR-000000000473,NOISE_INJECTED
SR-000000000474,NOISE_INJECTED
SR-000000000475,NOISE_INJECTED
SR-000000000476,NOISE_INJECTED
SR-000000000477,NOISE_INJECTED
SR-000000000478,NOISE_INJECTED
SR-000000000479,NOISE_INJECTED
SR-000000000480,NOISE_INJECTED
SR-000000000481,NOISE_INJECTED
SR-000000000482,NOISE_INJECTED
SR-000000000483,NOISE_INJECTED
SR-000000000484,NOISE_INJECTED
SR-000000000485,NOISE_INJECTED
SR-000000000486,NOISE_INJECTED
SR-000000000487,NOISE_INJECTED
SR-000000000488,NOISE_INJECTED
SR-000000000489,NOISE_INJECTED
SR-000000000490,NOISE_INJECTED
SR-000000000491,NOISE_INJECTED
SR-000000000492,NOISE_INJECTED
SR-000000000493,NOISE_INJECTED
SR-000000000494,NOISE_INJECTED
SR-000000000495,NOISE_INJECTED
SR-000000000496,NOISE_INJECTED
SR-000000000497,NOISE_INJECTED
SR-000000000498,NOISE_INJECTED
SR-000000000499,NOISE_INJECTED
SR-000000000500,NOISE_INJECTED
SR-000000000501,NOISE_INJECTED
SR-000000000502,NOISE_INJECTED
SR-000000000503,NOISE_INJECTED
SR-000000000504,NOISE_INJECTED
SR-000000000505,NOISE_INJECTED
SR-000000000506,NOISE_INJECTED
