weather_id,airport_id,observation_ts,report_type,temperature_c,wind_speed_kt,visibility_m,precipitation_mm,altimeter_hpa
WX-00000001,AP-0001,2026-07-22T15:27:59,ROUTINE,21.6,12.0,1710.0,0.0,1027.4
WX-00000002,AP-0001,2026-07-22T16:27:59,ROUTINE,27.0,10.0,10000.0,0.0,1020.0
WX-00000003,AP-0001,2026-07-22T17:27:59,ROUTINE,25.8,4.6,10000.0,0.0,1018.7
WX-00000004,AP-0001,2026-07-22T18:27:59,ROUTINE,27.3,9.6,9922.0,3.4,1014.1
WX-00000005,AP-0001,2026-07-22T19:27:59,SPECIAL,26.5,11.5,10000.0,0.0,1011.5
WX-00000006,AP-0001,2026-07-22T20:27:59,ROUTINE,26.6,8.4,10000.0,0.6,1005.3
WX-00000007,AP-0001,2026-07-22T21:27:59,ROUTINE,,9.0,9800.0,0.0,1003.7
WX-00000008,AP-0001,2026-07-22T22:27:59,ROUTINE,28.9,16.0,9634.0,0.0,1009.7
WX-00000009,AP-0001,2026-07-22T23:27:59,ROUTINE,26.0,7.5,10000.0,0.0,1011.1
WX-00000010,AP-0001,2026-07-23T00:27:59,ROUTINE,31.0,5.1,10000.0,0.5,1011.7
WX-00000011,AP-0001,2026-07-23T01:27:59,ROUTINE,22.9,33.4,10000.0,0.0,1004.7
WX-00000012,AP-0001,2026-07-23T02:27:59,ROUTINE,23.1,10.3,9814.0,0.0,
WX-00000013,AP-0001,2026-07-23T03:27:59,ROUTINE,28.3,6.5,9674.0,0.0,1013.8
WX-00000014,AP-0001,2026-07-23T04:27:59,ROUTINE,28.6,17.5,9476.0,0.0,1008.2
WX-00000015,AP-0001,2026-07-23T05:27:59,ROUTINE,23.5,2.6,9712.0,0.0,1021.3
WX-00000016,AP-0001,2026-07-23T06:27:59,ROUTINE,29.0,7.8,9658.0,0.0,1010.0
WX-00000017,AP-0001,2026-07-23T07:27:59,ROUTINE,23.3,10.8,9975.0,2.6,1010.0
WX-00000018,AP-0001,2026-07-23T08:27:59,ROUTINE,25.0,8.8,10000.0,0.0,1017.8
WX-00000019,AP-0001,2026-07-23T09:27:59,ROUTINE,25.1,17.3,10000.0,0.0,1006.7
WX-00000020,AP-0001,2026-07-23T10:27:59,ROUTINE,26.1,16.9,10000.0,0.6,1013.4
WX-00000021,AP-0001,2026-07-23T11:27:59,ROUTINE,21.8,20.2,9311.0,4.7,1018.0
WX-00000022,AP-0001,2026-07-23T12:27:59,ROUTINE,27.5,9.2,9288.0,0.0,1022.0
WX-00000023,AP-0001,2026-07-23T13:27:59,ROUTINE,23.5,10.2,8000.0,0.0,1021.7
WX-00000024,AP-0001,2026-07-23T14:27:59,ROUTINE,24.8,5.8,9690.0,0.0,1026.3
WX-00000025,AP-0001,2026-07-23T15:27:59,ROUTINE,27.3,7.3,10000.0,0.0,1009.1
WX-00000026,AP-0001,2026-07-23T16:27:59,ROUTINE,26.6,17.9,10000.0,0.0,1021.1
WX-00000027,AP-0001,2026-07-23T17:27:59,ROUTINE,28.5,30.5,9843.0,0.0,1015.6
WX-00000028,AP-0001,2026-07-23T18:27:59,ROUTINE,28.0,7.3,9583.0,0.0,1014.7
WX-00000029,AP-0001,2026-07-23T19:27:59,SPECIAL,28.5,15.7,10000.0,0.0,1024.6
WX-00000030,AP-0001,2026-07-23T20:27:59,SPECIAL,26.9,11.7,9592.0,0.0,1014.8
WX-00000031,AP-0001,2026-07-23T21:27:59,ROUTINE,24.6,8.0,10000.0,0.0,1028.3
WX-00000032,AP-0001,2026-07-23T22:27:59,ROUTINE,23.1,2.4,9638.0,0.0,1003.2
WX-00000033,AP-0001,2026-07-23T23:27:59,ROUTINE,28.7,3.1,9565.0,0.0,1011.1
WX-00000034,AP-0001,2026-07-24T00:27:59,ROUTINE,23.7,33.7,10000.0,1.1,1010.6
WX-00000035,AP-0001,2026-07-24T01:27:59,ROUTINE,26.2,11.8,9013.0,0.0,1019.1
WX-00000036,AP-0001,2026-07-24T02:27:59,ROUTINE,27.1,16.0,10000.0,0.0,1006.1
WX-00000037,AP-0001,2026-07-24T03:27:59,ROUTINE,25.2,6.5,8000.0,0.0,1029.0
WX-00000038,AP-0001,2026-07-24T04:27:59,ROUTINE,25.8,8.8,9616.0,0.0,1011.1
WX-00000039,AP-0001,2026-07-24T05:27:59,ROUTINE,23.4,7.6,9560.0,0.0,1004.6
WX-00000040,AP-0001,2026-07-24T06:27:59,ROUTINE,23.7,8.7,9883.0,0.0,1005.2
WX-00000041,AP-0001,2026-07-24T07:27:59,SPECIAL,29.6,14.7,9948.0,0.0,1019.7
WX-00000042,AP-0001,2026-07-24T08:27:59,ROUTINE,21.4,6.8,9855.0,0.0,1016.4
WX-00000043,AP-0001,2026-07-24T09:27:59,ROUTINE,26.5,15.7,9678.0,1.1,1031.8
WX-00000044,AP-0001,2026-07-24T10:27:59,ROUTINE,28.2,4.5,10000.0,0.0,1009.9
WX-00000045,AP-0001,2026-07-24T11:27:59,ROUTINE,26.1,5.8,9351.0,0.0,1015.2
WX-00000046,AP-0001,2026-07-24T12:27:59,ROUTINE,26.8,8.2,10000.0,2.5,1008.7
WX-00000047,AP-0001,2026-07-24T13:27:59,ROUTINE,25.4,13.2,920.0,0.0,1011.6
WX-00000048,AP-0001,2026-07-24T14:27:59,ROUTINE,26.8,13.8,10000.0,0.1,1001.3
WX-00000049,AP-0002,2026-07-22T15:27:59,ROUTINE,29.4,12.0,9434.0,0.0,1021.9
WX-00000050,AP-0002,2026-07-22T16:27:59,ROUTINE,29.6,10.5,6296.0,0.0,999.5
WX-00000051,AP-0002,2026-07-22T17:27:59,SPECIAL,25.8,10.3,9053.0,0.0,
WX-00000052,AP-0002,2026-07-22T18:27:59,ROUTINE,25.3,6.2,9822.0,0.0,1010.4
WX-00000053,AP-0002,2026-07-22T19:27:59,ROUTINE,27.3,1.9,8946.0,0.0,1014.4
WX-00000054,AP-0002,2026-07-22T20:27:59,ROUTINE,28.4,3.5,491.0,0.0,1018.0
WX-00000055,AP-0002,2026-07-22T21:27:59,ROUTINE,24.7,21.2,9873.0,0.0,1016.5
WX-00000056,AP-0002,2026-07-22T22:27:59,ROUTINE,26.6,5.4,3520.0,0.0,1017.2
WX-00000057,AP-0002,2026-07-22T23:27:59,ROUTINE,29.0,14.4,10000.0,0.0,1005.4
WX-00000058,AP-0002,2026-07-23T00:27:59,ROUTINE,28.4,9.0,10000.0,0.0,1011.0
WX-00000059,AP-0002,2026-07-23T01:27:59,ROUTINE,30.1,12.3,9843.0,0.0,1009.3
WX-00000060,AP-0002,2026-07-23T02:27:59,ROUTINE,30.2,2.8,9620.0,0.0,1020.7
WX-00000061,AP-0002,2026-07-23T03:27:59,ROUTINE,28.3,14.3,9571.0,1.0,1007.9
WX-00000062,AP-0002,2026-07-23T04:27:59,ROUTINE,30.5,9.3,,0.4,1023.0
WX-00000063,AP-0002,2026-07-23T05:27:59,ROUTINE,29.0,9.4,9883.0,0.0,1007.2
WX-00000064,AP-0002,2026-07-23T06:27:59,ROUTINE,28.7,10.3,9859.0,0.0,1006.7
WX-00000065,AP-0002,2026-07-23T07:27:59,ROUTINE,26.7,5.3,9903.0,0.0,1004.1
WX-00000066,AP-0002,2026-07-23T08:27:59,ROUTINE,30.3,11.6,10000.0,0.0,1013.4
WX-00000067,AP-0002,2026-07-23T09:27:59,ROUTINE,30.7,10.3,9890.0,0.0,1015.4
WX-00000068,AP-0002,2026-07-23T10:27:59,ROUTINE,28.1,17.1,10000.0,0.0,1024.7
WX-00000069,AP-0002,2026-07-23T11:27:59,ROUTINE,27.8,13.7,,0.0,1018.2
WX-00000070,AP-0002,2026-07-23T12:27:59,ROUTINE,30.6,7.2,9838.0,0.0,1017.3
WX-00000071,AP-0002,2026-07-23T13:27:59,ROUTINE,29.0,12.6,10000.0,0.0,998.3
WX-00000072,AP-0002,2026-07-23T14:27:59,ROUTINE,32.3,15.6,2825.0,0.0,1011.9
WX-00000073,AP-0002,2026-07-23T15:27:59,ROUTINE,28.7,6.0,10000.0,0.0,1017.1
WX-00000074,AP-0002,2026-07-23T16:27:59,ROUTINE,28.9,6.8,9787.0,2.5,1021.5
WX-00000075,AP-0002,2026-07-23T17:27:59,ROUTINE,28.4,9.8,3341.0,0.0,1017.3
WX-00000076,AP-0002,2026-07-23T18:27:59,ROUTINE,29.1,2.9,10000.0,0.0,1010.6
WX-00000077,AP-0002,2026-07-23T19:27:59,SPECIAL,30.0,7.1,10000.0,0.0,1018.8
WX-00000078,AP-0002,2026-07-23T20:27:59,ROUTINE,29.6,9.0,10000.0,0.0,1017.2
WX-00000079,AP-0002,2026-07-23T21:27:59,ROUTINE,25.9,6.2,8678.0,0.0,1027.3
WX-00000080,AP-0002,2026-07-23T22:27:59,ROUTINE,27.5,3.8,9583.0,0.0,1022.9
WX-00000081,AP-0002,2026-07-23T23:27:59,ROUTINE,25.2,11.4,10000.0,0.0,1017.4
WX-00000082,AP-0002,2026-07-24T00:27:59,ROUTINE,29.0,12.1,,0.1,1023.4
WX-00000083,AP-0002,2026-07-24T01:27:59,ROUTINE,29.5,,10000.0,3.3,1031.5
