work_order_id,maintenance_event_id,technician_id,fault_code_id,task_card_ref,description,labor_hours,opened_ts,closed_ts,status
WO-000000001,ME-00000001,TC-000006,FC-00025,,Jeu excessif constaté,6.6,2025-10-11T09:40:47,2025-10-11T16:18:29,CLOSED
WO-000000002,ME-00000001,TC-000006,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),3.4,2025-10-11T09:50:07,2025-10-11T13:13:43,CLOSED
WO-000000003,ME-00000001,TC-000006,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),2.2,2025-10-11T09:40:35,2025-10-11T11:55:08,CLOSED
WO-000000004,ME-00000002,TC-000003,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),1.5,2025-12-15T00:54:51,2025-12-15T02:26:15,CLOSED
WO-000000005,ME-00000003,TC-000015,FC-00017,TC-34-001,Perte de communication intermittente,1.2,2024-08-23T10:41:22,2024-08-23T11:53:33,CLOSED
WO-000000006,ME-00000004,TC-000014,FC-00020,TC-45-001,Perte de communication intermittente,2.2,2025-02-06T11:07:23,2025-02-06T13:20:51,CLOSED
WO-000000007,ME-00000005,TC-000003,FC-00020,TC-45-001,Perte de communication intermittente,1.6,2025-06-23T11:28:30,2025-06-23T13:06:42,CLOSED
WO-000000008,ME-00000006,TC-000005,FC-00011,TC-28-001,Jeu excessif constaté,0.6,2024-06-28T12:55:20,2024-06-28T13:31:54,CLOSED
WO-000000009,ME-00000007,TC-000003,FC-00039,TC-77-001,Dépassement de température,5.3,2021-02-20T10:31:37,2021-02-20T15:47:14,CLOSED
WO-000000010,ME-00000007,TC-000003,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),2.9,2021-02-20T10:18:31,2021-02-20T13:10:19,CLOSED
WO-000000011,ME-00000008,TC-000008,FC-00037,TC-73-001,Fuite huile détectée,3.4,2008-12-27T02:57:20,2008-12-27T06:22:38,CLOSED
WO-000000012,ME-00000009,TC-000015,FC-00041,TC-77-001,Fuite huile détectée,1.9,2020-08-27T17:20:08,2020-08-27T19:16:11,CLOSED
WO-000000013,ME-00000010,TC-000015,FC-00043,TC-79-001,,0.4,2020-06-19T03:10:56,2020-06-19T03:37:33,CLOSED
WO-000000014,ME-00000011,TC-000003,,TC-00-001,Tâche de maintenance sans code défaut associé (inspection/investigation générale),1.1,2010-04-03T03:24:16,2010-04-03T03:57:39,CLOSED
WO-000000015,ME-00000012,TC-000009,FC-00027,TC-71-001,Dépassement de température,2.4,2010-01-14T02:59:41,2010-01-14T04:25:43,CLOSED
WO-000000016,ME-00000013,TC-000002,FC-00037,TC-73-001,Fuite huile détectée,9.5,2011-05-31T16:52:46,2011-06-01T02:22:15,CLOSED
WO-000000017,ME-00000013,TC-000004,,TC-00-002,Tâche de maintenance sans code défaut associé (inspection/investigation générale),11.5,2011-05-31T17:00:59,2011-06-01T04:30:43,CLOSED
WO-000000018,ME-00000013,TC-000011,,TC-00-003,Tâche de maintenance sans code défaut associé (inspection/investigation générale),9.2,2011-05-31T17:15:21,2011-06-01T02:30:02,CLOSED
WO-000000019,ME-00000013,TC-000002,,TC-00-004,Tâche de maintenance sans code défaut associé (inspection/investigation générale),7.6,2011-05-31T17:34:12,2011-06-01T01:08:50,CLOSED
WO-000000020,ME-00000013,TC-000013,,TC-00-005,Tâche de maintenance sans code défaut associé (inspection/investigation générale),18.6,2011-05-31T17:02:50,2011-06-01T11:41:01,CLOSED
